sku,name,country_of_manufacture,description,short_description,weight,additional_attributes,categories,product_type,attribute_set_code,product_websites,product_online,tax_class_name,visibility,price,qty,is_in_stock
1140665941,"KIT CREATIVE TIPS ARTY BLACK ETUI CARTON DE 5 PCS ""STABILO"" REF: 89/5-1-20",GERMANY,"STABILO Creative Tips est la combinaison idéale de plusieurs feutres de dessin complémentaires offrant un choix de différentes pointes, d'extra fine à plus épaisse ainsi qu'une pointe pinceau flexible, déclinées dans des couleurs identiques d'une pointe à l'autre.
 Les pointes 0,4 et 0,7 mm sont pourvues d'un amortisseur pour résister à la pression et offrir un meilleur confort.
 Les 5 pointes combinées permettent une multitude d'applications et de techniques créatives : tracés fins, détails, contours, croquis, aplats, mais aussi lettering, écriture créative, dot art, BD, manga...
 Les encres à base d'eau de ces feutres permettent également d'obtenir de sublimes effets d'aquarelle.",Set de 5 embouts créatifs pour réaliser différents effets de tracé et styles artistiques. Idéal pour le dessin et les activités créatives,39,"mgs_brand=STABILO,techno_ref=89/5-1-20","Ecriture, Correction & Coloria",simple,Products,base,2,Taxable Goods,search,0,999,1
1140665939,"FEUTRE POINTE FINE 88 BOITE METAL RONDE DE 45 PCS ARTY ""STABILO"" REF: 88/45-2-20",GERMANY,"La boîte métal ronde ARTY permet de facilement ranger ses feutres sur un bureau et protège également vos feutres lorsque vous les transportez.
 Fabriqué en Allemagne, STABILO point 88 est le feutre pointe fine par excellence.
 Grâce à son tracé précis de 0,4 mm, vous pouvez dessiner des motifs, créer des contours, hachurer, réaliser des lignes fines et bien sûr écrire.
 Disponible en 65 couleurs, dont 6 fluo, il est parfait pour toutes les créations qui demandent de la précision : mandalas, pixel art, bullet journal, ..
 Facilement identifiable avec sa couleur orange et ses rayures blanches, son corps fin ne prend pas de place et se transporte facilement partout.
 Sa pointe fine en nylon gainée de métal ne se casse pas, ne se tord pas et ne sèche pas.","Set de 45 feutres fins (0,4 mm) avec pointe gainée de métal, idéal pour l’écriture précise et le dessin.
 Boîte métallique pratique pour le rangement.",393,"mgs_brand=STABILO,techno_ref=88/45-2-20","Ecriture, Correction & Coloria",simple,Products,base,2,Taxable Goods,search,0,999,1
1140665943,"KIT CREATIVE TIPS ARTY URBAN ETUI METAL DE 50 PCS ""STABILO"" REF: 89/50-6-20",GERMANY,"Coffret créatif de 50 feutres STABILO Creative Tips avec 5 types de pointes (0,2 mm, 0,4 mm, 0,7 mm, 1 mm et pinceau) pour l’écriture, le dessin, le coloriage et le lettering.
 Présentés dans une boîte métallique ARTY robuste, idéale pour le rangement et le transport.","Set créatif de 50 feutres STABILO Creative Tips avec 5 types de pointes (0,2 mm, 0,4 mm, 0,7 mm, 1 mm et pinceau).",740,"mgs_brand=STABILO,techno_ref=89/50-6-20","Ecriture, Correction & Coloria",simple,Products,base,2,Taxable Goods,search,0,999,1
1140665940,"KIT CREATIF CREATIVE TIPS ARTY ETUI METAL DE 30 PCS ""STABILO"" REF: 89/30-6-1-20",GERMANY,"Un set complet de 30 feutres STABILO Creative Tips, présenté dans un élégant étui en métal.
 Idéal pour le dessin, le coloriage et les projets créatifs, il offre une large palette de couleurs vives et durables.
 Parfait pour les enfants et les artistes en herbe, ce kit combine praticité, style et créativité.","Coffret créatif de 30 feutres STABILO Creative Tips avec 5 types de pointes (0,2 mm, 0,4 mm, 0,7 mm, 1 mm et pinceau).",530,"mgs_brand=STABILO,techno_ref=89/30-6-1-20","Ecriture, Correction & Coloria",simple,Products,base,2,Taxable Goods,search,0,999,1
1140665942,"KIT CREATIVE TIPS ARTY SHADING ETUI CARTON DE 10 PCS ""STABILO"" REF: 89/10-1-20",GERMANY,"Un set de 10 feutres STABILO Creative Tips dans un étui pratique, parfait pour le dessin, le coloriage et les projets créatifs.
 Ces feutres offrent des couleurs vives et résistantes, idéales pour les enfants et les amateurs d’art.",Un set de 10 feutres STABILO Creative Tips dans un étui pratique.,150,"mgs_brand=STABILO,techno_ref=89/10-1-20","Ecriture, Correction & Coloria",simple,Products,base,2,Taxable Goods,search,0,999,1
1140658097,"SURLIGNEUR BOSS JU SCHNEE 4 PCS EN POCHETTE ""STABILO"" REF: 70/4-1-101-10",GERMANY,"Le surligneur STABILO BOSS ORIGINAL by Ju Schnee à l'unité - menthe à l'eau.
 
  Le corps du surligneur STABILO BOSS ORIGINAL décoré par une artiste.
  4 décors différents inspirés de l'univers pop et joyeux de Ju Schnee.
  Une collaboration inédite qui transforme le célèbre surligneur en œuvre d'art.
  4 couleurs pastel : nuage de bleu, menthe à l’eau, sorbet abricot et mauve givré.
  Technologie anti-dessèchement STABILO : peut rester ouvert jusqu'à 4 heures sans sécher.
  2 largeurs de tracé : 2 et 5 mm.
  Fabriqué en Allemagne.","STABILO Boss Original Pastel by Ju Schnee Lot de 4 surligneurs, touche de vert menthe, bleu nuage, fuchsia frais, orange doux.",100,"mgs_brand=STABILO,techno_ref=70/4-1-101-10","Ecriture, Correction & Coloria",simple,Products,base,2,Taxable Goods,search,0,999,1
1140641680,"SURLIGNEUR LUMINATOR DESKSET DE 4 PCS ""STABILO"" REF: 7104-2",GERMANY,"Un ensemble de 4 surligneurs STABILO LUMINATOR aux couleurs fluo intenses.
 Ces surligneurs à encre liquide offrent un marquage particulièrement brillant, une pointe biseautée permettant des traits larges ou fins, et la technologie anti-dessèchement STABILO qui permet de travailler longtemps sans que l’encre ne sèche, même sans capuchon.","4 surligneurs fluo brillants, pointe biseautée, encre anti-dessèchement.",152,"mgs_brand=STABILO,techno_ref=7104-2","Ecriture, Correction & Coloria",simple,Products,base,2,Taxable Goods,search,0,999,1
1140641679,"SURLIGNEUR BOSS FLUO JEU DE 6 PCS ""STABILO"" REF: 7006",GERMANY,"Lot de 6 surligneurs STABILO BOSS ORIGINAL fluo — classiques et performants.
 Grâce à la technologie anti-dessèchement jusqu’à 4 h, vous pouvez les utiliser sans remettre immédiatement le capuchon.
 Avec leur pointe biseautée à double largeur (2 mm et 5 mm), ils permettent de surligner ou de souligner avec précision.
 Parfaits pour l’école, le bureau ou l’organisation de documents.","6 surligneurs classiques BOSS, pointe biseautée, longue durée.",168,"mgs_brand=STABILO,techno_ref=7006","Ecriture, Correction & Coloria",simple,Products,base,2,Taxable Goods,search,0,999,1
1140641675,"SURLIGNEUR GREEN BOSS PASTEL EN POCHETTE DE 4 PCS ""STABILO"" REF: 6070/4-2",GERMANY,"Set de 4 surligneurs STABILO GREEN BOSS Pastel fabriqués à 83 % de plastique recyclé pour une option plus écologique.
 Ils offrent la même technologie anti-dessèchement STABILO que les autres BOSS et une pointe biseautée double largeur, avec des teintes pastel douces idéales pour une lecture moins agressive et pour les projets créatifs.","4 surligneurs pastel écologiques, pointe biseautée, anti-dessèchement.",90,"mgs_brand=STABILO,techno_ref=6070/4-2","Ecriture, Correction & Coloria",simple,Products,base,2,Taxable Goods,search,0,999,1
1140641674,"SURLIGNEUR BOSS ARTY DESKSET DE 23 PCS ""STABILO"" REF: 7023-01-5-20",GERMANY,"Grand ensemble de 23 surligneurs STABILO BOSS ORIGINAL ARTY avec une large palette de couleurs fluorescentes et pastel.
 Ce deskset est parfait pour organiser vos notes par code couleur, faire du lettering créatif, du bullet journal, ou simplement embellir vos documents.
 Ils comportent la technologie anti-dessèchement STABILO et une pointe biseautée double largeur, garantissant polyvalence et confort d’écriture.","23 surligneurs colorés, pointe biseautée, pour créativité et organisation.",624,"mgs_brand=STABILO,techno_ref=7023-01-5-20","Ecriture, Correction & Coloria",simple,,,,,,,,
